id,answers,correct_answer,question,edition,json,test
078,"[""Motley Cru"",""Guns N Roses"",""Queen"",""The Beatles""]",2,Brian Harold May was the lead guitarist of what classic rock band?,Global,"{""id"":""078"",""question"":""Brian Harold May was the lead guitarist of what classic rock band?"",""correct_answer"":2,""answers"":[""Motley Cru"",""Guns N Roses"",""Queen"",""The Beatles""],""edition"":""Global""}",
079,"[""Switzerland"",""Iceland"",""Norway"",""Sweden""]",3,What country did ABBA originate from?,Global,"{""id"":""079"",""question"":""What country did ABBA originate from?"",""correct_answer"":3,""answers"":[""Switzerland"",""Iceland"",""Norway"",""Sweden""],""edition"":""Global""}",
080,"[""dquotesYou'll Be In My Heartdquotes by Phil Collins "",""dquotesMy Heart Will Go Ondquotes performed by Celine Dion"",""dquotesI Don't Want to Miss a Thingdquotes performed by Aerosmith"",""dquotesIf I Didn't Have Youdquotes by Randy Newman""]",2,Which song did NOT win an Academy Award for best original song?,Global,"{""id"":""080"",""question"":""Which song did NOT win an Academy Award for best original song?"",""correct_answer"":2,""answers"":[""dquotesYou'll Be In My Heartdquotes by Phil Collins "",""dquotesMy Heart Will Go Ondquotes performed by Celine Dion"",""dquotesI Don't Want to Miss a Thingdquotes performed by Aerosmith"",""dquotesIf I Didn't Have Youdquotes by Randy Newman""],""edition"":""Global""}",
081,"[""Lady Gaga"",""Ariana Grande"",""Tina Turner"",""Madonna""]",3,Who is known as dquotesThe Queen of Pop?dquotes,Global,"{""id"":""081"",""question"":""Who is known as dquotesThe Queen of Pop?dquotes"",""correct_answer"":3,""answers"":[""Lady Gaga"",""Ariana Grande"",""Tina Turner"",""Madonna""],""edition"":""Global""}",
082,"[""House Greyjoy"",""House Baratheon"",""House Tully"",""House Tyrell""]",0,In dquotesGame of Thronesdquotes what house does the motto dquotesWe do not sowdquotes belong to?,Global,"{""id"":""082"",""question"":""In dquotesGame of Thronesdquotes what house does the motto dquotesWe do not sowdquotes belong to?"",""correct_answer"":0,""answers"":[""House Greyjoy"",""House Baratheon"",""House Tully"",""House Tyrell""],""edition"":""Global""}",
083,"[""Legolas"",""Aragorn"",""Frodo"",""Samwise""]",1,"What dquotesLord of the Ringsdquotes character was injured by kicking a helmet on camera, breaking two of their toes?",Global,"{""id"":""083"",""question"":""What dquotesLord of the Ringsdquotes character was injured by kicking a helmet on camera, breaking two of their toes?"",""correct_answer"":1,""answers"":[""Legolas"",""Aragorn"",""Frodo"",""Samwise""],""edition"":""Global""}",
084,"[""Vermont"",""Florida"",""Colorado"",""Idaho""]",2,What US state does the show dquotesSouth Parkdquotes take place in?,Global,"{""id"":""084"",""question"":""What US state does the show dquotesSouth Parkdquotes take place in?"",""correct_answer"":2,""answers"":[""Vermont"",""Florida"",""Colorado"",""Idaho""],""edition"":""Global""}",
085,"[""From the south"",""Left handed"",""Farsighted"",""Stubborn""]",1,"To say someone is a dquotessouthpawdquotes means they are - ",Global,"{""id"":""085"",""question"":""To say someone is a dquotessouthpawdquotes means they are - "",""correct_answer"":1,""answers"":[""From the south"",""Left handed"",""Farsighted"",""Stubborn""],""edition"":""Global""}",
086,"[""Starbucks"",""Monk's Cafe"",""Luke's"",""Central Perk""]",3,What is the name of the coffee house on the TV show dquotesFriends?dquotes,Global,"{""id"":""086"",""question"":""What is the name of the coffee house on the TV show dquotesFriends?dquotes"",""correct_answer"":3,""answers"":[""Starbucks"",""Monk's Cafe"",""Luke's"",""Central Perk""],""edition"":""Global""}",
087,"[""dquotesGolden Girlsdquotes"",""dquotesM.A.S.Hdquotes"",""dquotesI Love Lucydquotes"",""dquotesGunsmokedquotes""]",2,What TV show aired the first ever rerun?,Global,"{""id"":""087"",""question"":""What TV show aired the first ever rerun?"",""correct_answer"":2,""answers"":[""dquotesGolden Girlsdquotes"",""dquotesM.A.S.Hdquotes"",""dquotesI Love Lucydquotes"",""dquotesGunsmokedquotes""],""edition"":""Global""}",
088,"[""Queens"",""Manhattan"",""Staten Island"",""Long Island""]",2,What part of New York City do the vampires from dquotesWhat We Do In the Shadowsdquotes live?,Global,"{""id"":""088"",""question"":""What part of New York City do the vampires from dquotesWhat We Do In the Shadowsdquotes live?"",""correct_answer"":2,""answers"":[""Queens"",""Manhattan"",""Staten Island"",""Long Island""],""edition"":""Global""}",
089,"[""A banana"",""An Ice cream cone"",""A hot dog"",""A stalk of corn""]",0,In dquotesArrested Developmentdquotes the Bluthe family own and operate a small food stand shaped as what?,Global,"{""id"":""089"",""question"":""In dquotesArrested Developmentdquotes the Bluthe family own and operate a small food stand shaped as what?"",""correct_answer"":0,""answers"":[""A banana"",""An Ice cream cone"",""A hot dog"",""A stalk of corn""],""edition"":""Global""}",
090,"[""Kraftwork"",""Reflections"",""What You Needle"",""OK Crochet""]",1,What is the name of the craft goods store ran by Edith in dquotesBob's Burgers?dquotes,Global,"{""id"":""090"",""question"":""What is the name of the craft goods store ran by Edith in dquotesBob's Burgers?dquotes"",""correct_answer"":1,""answers"":[""Kraftwork"",""Reflections"",""What You Needle"",""OK Crochet""],""edition"":""Global""}",
091,"[""The Hulk"",""Iron Man"",""Batman"",""Green Lantern""]",2,Mr. Freeze is a villain in which super hero's universe?,Global,"{""id"":""091"",""question"":""Mr. Freeze is a villain in which super hero's universe?"",""correct_answer"":2,""answers"":[""The Hulk"",""Iron Man"",""Batman"",""Green Lantern""],""edition"":""Global""}",
092,"[""The Thing"",""Beast Boy"",""Mystique"",""Magneto""]",3,Which of these super heroes cannot shapeshift?,Global,"{""id"":""092"",""question"":""Which of these super heroes cannot shapeshift?"",""correct_answer"":3,""answers"":[""The Thing"",""Beast Boy"",""Mystique"",""Magneto""],""edition"":""Global""}",
093,"[""Jack Nicholson"",""Jim Carrey"",""Danny DeVito"",""Anthony Hopkins""]",3,Which of these actors have never played a Batman villain?,Global,"{""id"":""093"",""question"":""Which of these actors have never played a Batman villain?"",""correct_answer"":3,""answers"":[""Jack Nicholson"",""Jim Carrey"",""Danny DeVito"",""Anthony Hopkins""],""edition"":""Global""}",
094,"[""Captain Kirk"",""Spock"",""Indiana Jones"",""Han Solo""]",0,What fictional character was Michael Myers' mask made from in the original dquotesHalloweendquotes,Global,"{""id"":""094"",""question"":""What fictional character was Michael Myers' mask made from in the original dquotesHalloweendquotes"",""correct_answer"":0,""answers"":[""Captain Kirk"",""Spock"",""Indiana Jones"",""Han Solo""],""edition"":""Global""}",
095,"[""dquotesTitanicdquotes"",""dquotesFried Green Tomatoesdquotes"",""dquotesMiserydquotes"",""dquotesAtonementdquotes""]",3,Which of the following movies did actress Kathy Bates NOT appear in?,Global,"{""id"":""095"",""question"":""Which of the following movies did actress Kathy Bates NOT appear in?"",""correct_answer"":3,""answers"":[""dquotesTitanicdquotes"",""dquotesFried Green Tomatoesdquotes"",""dquotesMiserydquotes"",""dquotesAtonementdquotes""],""edition"":""Global""}",
096,"[""dquotesPongdquotes"",""dquotesComputer Spacedquotes"",""dquotesTetrisdquotes"",""dquotesPac Mandquotes""]",1,What was the first arcade game to be released to the public?,Global,"{""id"":""096"",""question"":""What was the first arcade game to be released to the public?"",""correct_answer"":1,""answers"":[""dquotesPongdquotes"",""dquotesComputer Spacedquotes"",""dquotesTetrisdquotes"",""dquotesPac Mandquotes""],""edition"":""Global""}",
097,"[""28 years old"",""40 years old"",""35 years old"",""30 years old""]",2,What is the minimum age for someone to run for President in the US?,All,"{""id"":""097"",""question"":""What is the minimum age for someone to run for President in the US?"",""correct_answer"":2,""answers"":[""28 years old"",""40 years old"",""35 years old"",""30 years old""],""edition"":""All""}",
098,"[""Benjamin Franklin"",""Thomas Jefferson"",""George Washington"",""James Madison""]",3,Who wrote the original Bill of Rights and brought it to Congress?,All,"{""id"":""098"",""question"":""Who wrote the original Bill of Rights and brought it to Congress?"",""correct_answer"":3,""answers"":[""Benjamin Franklin"",""Thomas Jefferson"",""George Washington"",""James Madison""],""edition"":""All""}",
099,"[""Jim"",""Eddie"",""Sid"",""Lou""]",2,What is the name of Andy's neighbor in dquotesToy Story?dquotes,Global,"{""id"":""099"",""question"":""What is the name of Andy's neighbor in dquotesToy Story?dquotes"",""correct_answer"":2,""answers"":[""Jim"",""Eddie"",""Sid"",""Lou""],""edition"":""Global""}",
100,"[""Maleficent"",""Hades"",""Ursula"",""Cruella de Vil""]",1,Pain and Panic were the minions of what Disney movie villain?,Global,"{""id"":""100"",""question"":""Pain and Panic were the minions of what Disney movie villain?"",""correct_answer"":1,""answers"":[""Maleficent"",""Hades"",""Ursula"",""Cruella de Vil""],""edition"":""Global""}",
101,"[""Vatican City"",""Jerusalem"",""Rome"",""Istanbul""]",2,Of what city is the Catholic Pope also the bishop?,Global,"{""id"":""101"",""question"":""Of what city is the Catholic Pope also the bishop?"",""correct_answer"":2,""answers"":[""Vatican City"",""Jerusalem"",""Rome"",""Istanbul""],""edition"":""Global""}",
102,"[""Denominator"",""Difference"",""Numerator"",""Quotient""]",0,What is the number below the line in a fraction called?,All,"{""id"":""102"",""question"":""What is the number below the line in a fraction called?"",""correct_answer"":0,""answers"":[""Denominator"",""Difference"",""Numerator"",""Quotient""],""edition"":""All""}",
103,"[""Tempura"",""Hibachi"",""Sashimi"",""Wasabi""]",1,What Japanese food term literally translates to dquotesfire bowldquotes?,Global,"{""id"":""103"",""question"":""What Japanese food term literally translates to dquotesfire bowldquotes?"",""correct_answer"":1,""answers"":[""Tempura"",""Hibachi"",""Sashimi"",""Wasabi""],""edition"":""Global""}",
104,"[""Belgium"",""Pakistan"",""Ireland"",""Israel""]",2,What country's head of government is called the Taoiseach?,Global,"{""id"":""104"",""question"":""What country's head of government is called the Taoiseach?"",""correct_answer"":2,""answers"":[""Belgium"",""Pakistan"",""Ireland"",""Israel""],""edition"":""Global""}",
105,"[""1.6"",""2.5"",""3.2"",""26.2""]",0,Approximately how many kilometers are in a mile?,Global,"{""id"":""105"",""question"":""Approximately how many kilometers are in a mile?"",""correct_answer"":0,""answers"":[""1.6"",""2.5"",""3.2"",""26.2""],""edition"":""Global""}",
106,"[""Red"",""Yellow"",""Blue"",""Green""]",0,"Carmine, cerise, and vermilion are all shades of what primary color?",Global,"{""id"":""106"",""question"":""Carmine, cerise, and vermilion are all shades of what primary color?"",""correct_answer"":0,""answers"":[""Red"",""Yellow"",""Blue"",""Green""],""edition"":""Global""}",
107,"[""Sangria"",""Sambuca"",""Vermouth"",""Absinthe""]",0,"What alcoholic beverage's name comes from its dark red color, resembling blood?",Global,"{""id"":""107"",""question"":""What alcoholic beverage's name comes from its dark red color, resembling blood?"",""correct_answer"":0,""answers"":[""Sangria"",""Sambuca"",""Vermouth"",""Absinthe""],""edition"":""Global""}",
108,"[""2 inches"",""4 inches"",""10 inches"",""24 inches""]",1,"Mostly used today for measuring horse height, how long is a hand?",All,"{""id"":""108"",""question"":""Mostly used today for measuring horse height, how long is a hand?"",""correct_answer"":1,""answers"":[""2 inches"",""4 inches"",""10 inches"",""24 inches""],""edition"":""All""}",
109,"[""Chupacabra"",""Kraken"",""Sasquatch"",""Medusa""]",0,What mythological monster's name literally translates to dquotesgoat-suckerdquotes?,Global,"{""id"":""109"",""question"":""What mythological monster's name literally translates to dquotesgoat-suckerdquotes?"",""correct_answer"":0,""answers"":[""Chupacabra"",""Kraken"",""Sasquatch"",""Medusa""],""edition"":""Global""}",
110,"[""Southwest"",""Delta"",""American"",""United""]",0,What airline's New York Stock Exchange ticker is dquotesLUVdquotes?,All,"{""id"":""110"",""question"":""What airline's New York Stock Exchange ticker is dquotesLUVdquotes?"",""correct_answer"":0,""answers"":[""Southwest"",""Delta"",""American"",""United""],""edition"":""All""}",
111,"[""Apple"",""Banana"",""Peach"",""Raspberry""]",1,"What fruit has the cultivar variations dquotesGros Micheldquotes, dquotesBlue Javadquotes, and dquotesGoldfingerdquotes?",Global,"{""id"":""111"",""question"":""What fruit has the cultivar variations dquotesGros Micheldquotes, dquotesBlue Javadquotes, and dquotesGoldfingerdquotes?"",""correct_answer"":1,""answers"":[""Apple"",""Banana"",""Peach"",""Raspberry""],""edition"":""Global""}",
112,"[""4"",""7"",""13"",""50""]",1,How many red stripes are on the flag of the United States?,All,"{""id"":""112"",""question"":""How many red stripes are on the flag of the United States?"",""correct_answer"":1,""answers"":[""4"",""7"",""13"",""50""],""edition"":""All""}",
113,"[""Ace of Spades"",""Queen of Spades"",""King of Diamonds"",""2 of Clubs""]",1,"In addition to all the hearts, what card must you have to dquotesshoot the moondquotes in the game of Hearts?",Global,"{""id"":""113"",""question"":""In addition to all the hearts, what card must you have to dquotesshoot the moondquotes in the game of Hearts?"",""correct_answer"":1,""answers"":[""Ace of Spades"",""Queen of Spades"",""King of Diamonds"",""2 of Clubs""],""edition"":""Global""}",
114,"[""Mercury"",""Venus"",""Jupiter"",""Earth""]",1,What planet in our Solar System has the highest surface temperature?,Global,"{""id"":""114"",""question"":""What planet in our Solar System has the highest surface temperature?"",""correct_answer"":1,""answers"":[""Mercury"",""Venus"",""Jupiter"",""Earth""],""edition"":""Global""}",
115,"[""Turkey"",""Cardinal"",""Robin"",""Eagle""]",1,"The symbol of 7 states, what is the most commonly honored state bird in the US?",Global,"{""id"":""115"",""question"":""The symbol of 7 states, what is the most commonly honored state bird in the US?"",""correct_answer"":1,""answers"":[""Turkey"",""Cardinal"",""Robin"",""Eagle""],""edition"":""Global""}",
116,"[""Carp"",""Bass"",""Perch"",""Tuna""]",0,What kind of fish is the common aquarium goldfish?,Global,"{""id"":""116"",""question"":""What kind of fish is the common aquarium goldfish?"",""correct_answer"":0,""answers"":[""Carp"",""Bass"",""Perch"",""Tuna""],""edition"":""Global""}",
117,"[""Tug-of-War"",""Live Pigeon Shooting"",""Arm Wrestling"",""Badminton""]",2,Which of these has never been an Olympic sport?,Global,"{""id"":""117"",""question"":""Which of these has never been an Olympic sport?"",""correct_answer"":2,""answers"":[""Tug-of-War"",""Live Pigeon Shooting"",""Arm Wrestling"",""Badminton""],""edition"":""Global""}",
118,"[""Gund"",""Tiger Electronics"",""Mattel"",""Fisher-Price""]",1,What toy company created the original Furby?,Global,"{""id"":""118"",""question"":""What toy company created the original Furby?"",""correct_answer"":1,""answers"":[""Gund"",""Tiger Electronics"",""Mattel"",""Fisher-Price""],""edition"":""Global""}",
119,"[""Priuses"",""Priem"",""Prii"",""Priopodes""]",2,"According to Toyota, what is the official plural form of the car model dquotesPriusdquotes?",Global,"{""id"":""119"",""question"":""According to Toyota, what is the official plural form of the car model dquotesPriusdquotes?"",""correct_answer"":2,""answers"":[""Priuses"",""Priem"",""Prii"",""Priopodes""],""edition"":""Global""}",
120,"[""Eggplant"",""Cucumber"",""Carrot"",""Zucchini""]",0,What vegetable is known in British English by the name dquotesauberginedquotes?,All,"{""id"":""120"",""question"":""What vegetable is known in British English by the name dquotesauberginedquotes?"",""correct_answer"":0,""answers"":[""Eggplant"",""Cucumber"",""Carrot"",""Zucchini""],""edition"":""All""}",
121,"[""Technological Implement"",""Tiny Interconnector"",""Texas Instruments"",""Transducer Involvement""]",2,"What does the dquotesTIdquotes stand for in the name of the ubiquitous graphing calculator, the dquotesTI-83dquotes?",Global,"{""id"":""121"",""question"":""What does the dquotesTIdquotes stand for in the name of the ubiquitous graphing calculator, the dquotesTI-83dquotes?"",""correct_answer"":2,""answers"":[""Technological Implement"",""Tiny Interconnector"",""Texas Instruments"",""Transducer Involvement""],""edition"":""Global""}",
122,"[""Diwali"",""Navratri"",""Holi"",""Rosh Hashanah""]",2,What Hindu holiday is known as the dquotesfestival of colorsdquotes?,Global,"{""id"":""122"",""question"":""What Hindu holiday is known as the dquotesfestival of colorsdquotes?"",""correct_answer"":2,""answers"":[""Diwali"",""Navratri"",""Holi"",""Rosh Hashanah""],""edition"":""Global""}",
123,"[""Hey Jude"",""Revolution 9"",""A Day in the Life"",""Yellow Submarine""]",1,What is the longest song ever released by The Beatles?,Global,"{""id"":""123"",""question"":""What is the longest song ever released by The Beatles?"",""correct_answer"":1,""answers"":[""Hey Jude"",""Revolution 9"",""A Day in the Life"",""Yellow Submarine""],""edition"":""Global""}",
124,"[""Wringling"",""Busking"",""Scraping"",""Dongling""]",1,What word means performing in the street for donations?,Global,"{""id"":""124"",""question"":""What word means performing in the street for donations?"",""correct_answer"":1,""answers"":[""Wringling"",""Busking"",""Scraping"",""Dongling""],""edition"":""Global""}",
125,"[""Red"",""Yellow"",""Blue"",""White""]",1,"In a standard set of pool table balls, what color is the 1 ball?",Global,"{""id"":""125"",""question"":""In a standard set of pool table balls, what color is the 1 ball?"",""correct_answer"":1,""answers"":[""Red"",""Yellow"",""Blue"",""White""],""edition"":""Global""}",
126,"[""Zooplankton"",""Krill"",""Brine Shrimp"",""Algae""]",2,What kind of animal is a dquotessea monkeydquotes?,Global,"{""id"":""126"",""question"":""What kind of animal is a dquotessea monkeydquotes?"",""correct_answer"":2,""answers"":[""Zooplankton"",""Krill"",""Brine Shrimp"",""Algae""],""edition"":""Global""}",
127,"[""Abraham Lincoln"",""Benjamin Harrison"",""Harry Truman"",""Ulysses S. Grant""]",1,Who was the last US President to have a full beard while in office?,All,"{""id"":""127"",""question"":""Who was the last US President to have a full beard while in office?"",""correct_answer"":1,""answers"":[""Abraham Lincoln"",""Benjamin Harrison"",""Harry Truman"",""Ulysses S. Grant""],""edition"":""All""}",
128,"[""Baku, Azerbaijan"",""Amsterdam, Netherlands"",""Bangkok, Thailand"",""Canberra, Australia""]",0,"At 28 meters below sea level, what is the world's lowest national capital?",Global,"{""id"":""128"",""question"":""At 28 meters below sea level, what is the world's lowest national capital?"",""correct_answer"":0,""answers"":[""Baku, Azerbaijan"",""Amsterdam, Netherlands"",""Bangkok, Thailand"",""Canberra, Australia""],""edition"":""Global""}",
129,"[""Dr. Seuss"",""Dr. Phil"",""Dr. Dre"",""Dr. Scholl""]",0,Theodore Geisel is the real name of what dquotesDoctordquotes?,Global,"{""id"":""129"",""question"":""Theodore Geisel is the real name of what dquotesDoctordquotes?"",""correct_answer"":0,""answers"":[""Dr. Seuss"",""Dr. Phil"",""Dr. Dre"",""Dr. Scholl""],""edition"":""Global""}",
130,"[""Kane-El"",""Krypto"",""Red"",""Peter Parker""]",1,What is the name of Superman's Superdog?,Global,"{""id"":""130"",""question"":""What is the name of Superman's Superdog?"",""correct_answer"":1,""answers"":[""Kane-El"",""Krypto"",""Red"",""Peter Parker""],""edition"":""Global""}",
131,"[""United Software Bureau"",""Union of Silicon Braids"",""Universal Serial Bus"",""Unified Silver Bands""]",2,What does the technology acronym USB stand for?,Global,"{""id"":""131"",""question"":""What does the technology acronym USB stand for?"",""correct_answer"":2,""answers"":[""United Software Bureau"",""Union of Silicon Braids"",""Universal Serial Bus"",""Unified Silver Bands""],""edition"":""Global""}",
132,"[""West Virginia"",""Pennsylvania"",""New York"",""Oregon""]",2,In what US state are the Adirondack Mountains?,All,"{""id"":""132"",""question"":""In what US state are the Adirondack Mountains?"",""correct_answer"":2,""answers"":[""West Virginia"",""Pennsylvania"",""New York"",""Oregon""],""edition"":""All""}",
133,"[""John Quincy Adams"",""Franklin Pierce"",""William Howard Taft"",""George Washington""]",2,Who is the only person to hold the positions of US President and Chief Justice of the Supreme Court?,All,"{""id"":""133"",""question"":""Who is the only person to hold the positions of US President and Chief Justice of the Supreme Court?"",""correct_answer"":2,""answers"":[""John Quincy Adams"",""Franklin Pierce"",""William Howard Taft"",""George Washington""],""edition"":""All""}",
134,"[""Bandai Namco"",""Square Enix"",""Capcom"",""Eversoft""]",1,"What video game company is known for its dquotesFinal Fantasydquotes, dquotesDragon Questdquotes, and dquotesKingdom Heartsdquotes franchises?",Global,"{""id"":""134"",""question"":""What video game company is known for its dquotesFinal Fantasydquotes, dquotesDragon Questdquotes, and dquotesKingdom Heartsdquotes franchises?"",""correct_answer"":1,""answers"":[""Bandai Namco"",""Square Enix"",""Capcom"",""Eversoft""],""edition"":""Global""}",
135,"[""Swiss"",""Second"",""Steel"",""Superior""]",1,"What word mixes with dquoteswatchdquotes to form the portmanteau company name, dquotesSwatchdquotes?",Global,"{""id"":""135"",""question"":""What word mixes with dquoteswatchdquotes to form the portmanteau company name, dquotesSwatchdquotes?"",""correct_answer"":1,""answers"":[""Swiss"",""Second"",""Steel"",""Superior""],""edition"":""Global""}",
136,"[""Quick Valise Channel"",""Queen Victoria Commerce"",""Quality Value Convenience"",""Qualified Visual Consumption""]",2,What does the shopping channel initialism dquotesQVCdquotes stand for?,All,"{""id"":""136"",""question"":""What does the shopping channel initialism dquotesQVCdquotes stand for?"",""correct_answer"":2,""answers"":[""Quick Valise Channel"",""Queen Victoria Commerce"",""Quality Value Convenience"",""Qualified Visual Consumption""],""edition"":""All""}",
137,"[""Hello"",""Thank you"",""Stand tall"",""See you later""]",1,What is Styx telling Mr. Roboto when they say dquotesdomo arigatodquotes?,Global,"{""id"":""137"",""question"":""What is Styx telling Mr. Roboto when they say dquotesdomo arigatodquotes?"",""correct_answer"":1,""answers"":[""Hello"",""Thank you"",""Stand tall"",""See you later""],""edition"":""Global""}",
138,"[""Steam"",""Sky"",""Liberty"",""Sun""]",0,Which of the following is not a WNBA team name?,All,"{""id"":""138"",""question"":""Which of the following is not a WNBA team name?"",""correct_answer"":0,""answers"":[""Steam"",""Sky"",""Liberty"",""Sun""],""edition"":""All""}",
139,"[""&"",""#"",""@"",""%""]",1,What many-named symbol is also known as the dquotesoctothorpedquotes?,Global,"{""id"":""139"",""question"":""What many-named symbol is also known as the dquotesoctothorpedquotes?"",""correct_answer"":1,""answers"":[""&"",""#"",""@"",""%""],""edition"":""Global""}",
140,"[""Pennsylvania"",""Maine"",""Maryland"",""Alaska""]",2,In what state is the Blair Witch supposed to be lurking in the 1999 film dquotesThe Blair Witch Projectdquotes?,All,"{""id"":""140"",""question"":""In what state is the Blair Witch supposed to be lurking in the 1999 film dquotesThe Blair Witch Projectdquotes?"",""correct_answer"":2,""answers"":[""Pennsylvania"",""Maine"",""Maryland"",""Alaska""],""edition"":""All""}",
141,"[""Arbor Day"",""Flag Day"",""Earth Day"",""Presidents' Day""]",2,What holiday is celebrated annually on April 22?,All,"{""id"":""141"",""question"":""What holiday is celebrated annually on April 22?"",""correct_answer"":2,""answers"":[""Arbor Day"",""Flag Day"",""Earth Day"",""Presidents' Day""],""edition"":""All""}",
142,"[""12"",""$20 "",""$32 "",""40""]",1,How many baby teeth to humans normally grow?,Global,"{""id"":""142"",""question"":""How many baby teeth to humans normally grow?"",""correct_answer"":1,""answers"":[""12"",""$20 "",""$32 "",""40""],""edition"":""Global""}",
143,"[""2 gallons"",""5 gallons"",""10 gallons"",""25 gallons""]",0,"When Peter Piper picked a peck of pickled peppers, how many pickled peppers did Peter Piper pick?",Global,"{""id"":""143"",""question"":""When Peter Piper picked a peck of pickled peppers, how many pickled peppers did Peter Piper pick?"",""correct_answer"":0,""answers"":[""2 gallons"",""5 gallons"",""10 gallons"",""25 gallons""],""edition"":""Global""}",
144,"[""7"",""17"",""31"",""22""]",1,How many total syllables are in a haiku?,Global,"{""id"":""144"",""question"":""How many total syllables are in a haiku?"",""correct_answer"":1,""answers"":[""7"",""17"",""31"",""22""],""edition"":""Global""}",
145,"[""%"",""÷"",""="",""/""]",1,What mathematical symbol is more formally known as an obelus?,Global,"{""id"":""145"",""question"":""What mathematical symbol is more formally known as an obelus?"",""correct_answer"":1,""answers"":[""%"",""÷"",""="",""/""],""edition"":""Global""}",
146,"[""Sirius"",""Polaris"",""Vega"",""Betelgeuse""]",0,What is the brightest star in our night sky?,Global,"{""id"":""146"",""question"":""What is the brightest star in our night sky?"",""correct_answer"":0,""answers"":[""Sirius"",""Polaris"",""Vega"",""Betelgeuse""],""edition"":""Global""}",
147,"[""$1 "",""$20 "",""$100 "",""$5 ""]",1,What is the most commonly counterfeited bill in the United States?,All,"{""id"":""147"",""question"":""What is the most commonly counterfeited bill in the United States?"",""correct_answer"":1,""answers"":[""$1 "",""$20 "",""$100 "",""$5 ""],""edition"":""All""}",
148,"[""Sunflower"",""Rose"",""Lily"",""Dandelion""]",1,What is the official national flower of the United States?,Global,"{""id"":""148"",""question"":""What is the official national flower of the United States?"",""correct_answer"":1,""answers"":[""Sunflower"",""Rose"",""Lily"",""Dandelion""],""edition"":""Global""}",
149,"[""Hitman"",""Accountant"",""Surfer"",""Dancer""]",0,"What is Léon's profession in the 1994 movie, dquotesLéon: The Professionaldquotes?",Global,"{""id"":""149"",""question"":""What is Léon's profession in the 1994 movie, dquotesLéon: The Professionaldquotes?"",""correct_answer"":0,""answers"":[""Hitman"",""Accountant"",""Surfer"",""Dancer""],""edition"":""Global""}",
150,"[""Connecticut"",""Delaware"",""Hawaii"",""Vermont""]",1,"After Rhode Island, what is the second-smallest state in the US?",All,"{""id"":""150"",""question"":""After Rhode Island, what is the second-smallest state in the US?"",""correct_answer"":1,""answers"":[""Connecticut"",""Delaware"",""Hawaii"",""Vermont""],""edition"":""All""}",
151,"[""United States"",""China"",""Turkey"",""Brazil""]",1,What country produces the world's most apples?,Global,"{""id"":""151"",""question"":""What country produces the world's most apples?"",""correct_answer"":1,""answers"":[""United States"",""China"",""Turkey"",""Brazil""],""edition"":""Global""}",
152,"[""Main deck"",""Orlop Deck"",""Poop Deck"",""Steerage""]",2,Which of these decks is highest on a ship?,Global,"{""id"":""152"",""question"":""Which of these decks is highest on a ship?"",""correct_answer"":2,""answers"":[""Main deck"",""Orlop Deck"",""Poop Deck"",""Steerage""],""edition"":""Global""}",
153,"[""Cary Grant"",""John Wayne"",""Humphrey Bogart"",""Rock Hudson""]",1,What film star was born with the name dquotesMarion Robert Morrisondquotes?,Global,"{""id"":""153"",""question"":""What film star was born with the name dquotesMarion Robert Morrisondquotes?"",""correct_answer"":1,""answers"":[""Cary Grant"",""John Wayne"",""Humphrey Bogart"",""Rock Hudson""],""edition"":""Global""}",
154,"[""Port"",""Starboard"",""Aft"",""Stern""]",1,What is the nautical term for the right-hand side of a ship?,Global,"{""id"":""154"",""question"":""What is the nautical term for the right-hand side of a ship?"",""correct_answer"":1,""answers"":[""Port"",""Starboard"",""Aft"",""Stern""],""edition"":""Global""}",
155,"[""New Zealand"",""Denmark"",""Argentina"",""France""]",1,What country controls the island of Zealand?,Global,"{""id"":""155"",""question"":""What country controls the island of Zealand?"",""correct_answer"":1,""answers"":[""New Zealand"",""Denmark"",""Argentina"",""France""],""edition"":""Global""}",
156,"[""12.5 cents"",""50 cents"",""5 dollars"",""10 cents""]",0,"As in the song phrase dquotesshave and a haircut, two bitsdquotes, how much is a bit worth?",All,"{""id"":""156"",""question"":""As in the song phrase dquotesshave and a haircut, two bitsdquotes, how much is a bit worth?"",""correct_answer"":0,""answers"":[""12.5 cents"",""50 cents"",""5 dollars"",""10 cents""],""edition"":""All""}",
157,"[""6 minutes, 21 seconds"",""14 minutes, 11 seconds"",""24 minutes, 37 seconds"",""3 minutes, 4 seconds""]",2,"According to Guinness World Records, what is the longest recorded time a person has ever held their breath?",All,"{""id"":""157"",""question"":""According to Guinness World Records, what is the longest recorded time a person has ever held their breath?"",""correct_answer"":2,""answers"":[""6 minutes, 21 seconds"",""14 minutes, 11 seconds"",""24 minutes, 37 seconds"",""3 minutes, 4 seconds""],""edition"":""All""}",
158,"[""Platinum"",""Rhodium"",""Gold"",""Nickel""]",1,What is the most valuable precious metal in the world?,All,"{""id"":""158"",""question"":""What is the most valuable precious metal in the world?"",""correct_answer"":1,""answers"":[""Platinum"",""Rhodium"",""Gold"",""Nickel""],""edition"":""All""}",
159,"[""Triceratops"",""T-Rex"",""Velociraptor"",""Brontosaurus""]",1,What kind of dinosaur is Barney?,All,"{""id"":""159"",""question"":""What kind of dinosaur is Barney?"",""correct_answer"":1,""answers"":[""Triceratops"",""T-Rex"",""Velociraptor"",""Brontosaurus""],""edition"":""All""}",
